grid,velocity,T,density,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_NO,Y_NO2,Y_N2O,Y_HNO,Y_CN,Y_HCN,Y_H2CN,Y_HCNN,Y_HCNO,Y_HOCN,Y_HNCO,Y_NCO,Y_N2,Y_AR,Y_C3H7,Y_C3H8,Y_CH2CHO,Y_CH3CHO
0.0,0.3844984413861558,300.0,1.1225327578400413,2.8326380744142944e-16,3.03238787444252e-15,3.1629453541364585e-16,0.22006045163346646,3.868501253703387e-14,0.0,1.1624755478544568e-15,2.1599666060268542e-14,0.0,2.1110239650375894e-29,0.0,0.0,2.830893989872032e-15,0.055166413925209386,0.0,0.0,2.8138867265012656e-22,0.0,0.0,3.746740707098947e-23,0.0,5.209359807915374e-14,0.0,9.464467700189827e-34,6.456859777884149e-14,2.2276804416162817e-23,6.88841227532583e-15,0.0,0.0,1.636389539569124e-14,1.1921607154863577e-13,0.0,5.814610835084273e-16,1.0288552093900585e-15,4.964981757666859e-31,5.074737499807164e-16,0.0,0.0,0.0,0.0,7.19037187328975e-14,0.0,0.0,2.6640543473718975e-17,2.2675782711206288e-20,0.0,0.0,0.7247731344409141,0.0,0.0,8.28724127680805e-15,2.887969061522346e-30,8.038012038199051e-16
0.008,0.3844984413840139,299.9999999982751,1.1225327578462896,1.6694908204850765e-14,2.3062637365285243e-20,3.016461171729402e-14,0.2200604516333206,0.0,0.0,1.7264590298303978e-13,2.1547941782608468e-14,0.0,1.384174314764917e-36,0.0,0.0,3.856270433940272e-14,0.055166413925238626,0.0,0.0,5.511415515404813e-20,0.0,0.0,7.451814815228361e-21,0.0,9.212535217500949e-21,0.0,1.7693312378776702e-31,6.456949896687902e-14,4.608532725820881e-21,0.0,0.0,0.0,1.6363895393519187e-14,1.3400669105484626e-14,0.0,5.814610841610767e-16,1.0288552086014735e-15,7.450533992652226e-29,7.609967266117392e-14,0.0,0.0,0.0,0.0,7.190377853157777e-14,0.0,1.6920031185351755e-36,2.6640543467433698e-17,2.2675782734831674e-20,0.0,0.0,0.7247731344409081,0.0,0.0,8.287233504102334e-15,1.02067901263549e-28,8.038011992529817e-16
0.012,0.3844984413852117,299.99999999825235,1.1225327578427935,2.6756051371889523e-13,6.234009628561654e-25,3.796179923520907e-14,0.22006045163324542,2.2553935746019566e-17,0.0,1.7264094326485504e-13,2.1546761539371435e-14,0.0,8.193308179671195e-42,0.0,6.876733354810701e-30,5.749619929328009e-14,0.0551664139252064,0.0,0.0,1.2083321166472645e-25,0.0,2.050341579072736e-28,5.001458655166188e-21,0.0,3.270229732727075e-27,0.0,4.1194336630751016e-35,6.45699864828129e-14,4.991596866111775e-21,0.0,2.3782920586346642e-30,0.0,1.6363895391323352e-14,2.7189876779019476e-15,0.0,5.814610990285823e-16,1.0288552080165437e-15,2.0335967712607748e-33,9.890432793876578e-14,0.0,0.0,0.0,0.0,7.190378157537497e-14,0.0,2.259993506441062e-42,2.6640543462679396e-17,2.267578276498507e-20,0.0,0.0,0.7247731344407257,0.0,0.0,8.287229389897281e-15,1.5798183428197303e-32,8.038011994536974e-16
0.016,0.38449844141060685,299.9999999983051,1.1225327577686517,5.464114237048643e-12,1.2190574377413023e-25,3.624826479154364e-14,0.22006045163221633,2.2625884801361162e-17,0.0,1.7263459267297764e-13,2.1545709899501124e-14,0.0,0.0,3.006487474126452e-27,3.5185609583654125e-30,6.349956538436738e-14,0.055166413924715586,0.0,0.0,3.6056734078199693e-28,0.0,2.028674468535875e-28,3.2671241218895953e-21,0.0,1.165053680928815e-33,0.0,3.2182738161297417e-35,6.457044563104631e-14,4.695615305673505e-21,0.0,2.3428647660792374e-30,0.0,1.6363895386947815e-14,5.523959186576927e-16,0.0,5.814617769221691e-16,1.0288552139845964e-15,3.938249839941913e-34,1.0355981713119005e-13,0.0,0.0,0.0,0.0,7.190378120051096e-14,0.0,0.0,2.6640543485516627e-17,2.267578325201629e-20,0.0,0.0,0.7247731344370423,0.0,0.0,8.287225070117777e-15,0.0,8.038012014688699e-16
0.018000000000000002,0.384498441610594,299.99999999836007,1.1225327571847954,4.6480173506227885e-11,7.221585848953541e-26,3.466521908059456e-14,0.2200604516241218,2.1649211612137767e-17,0.0,1.7263212175888236e-13,2.1545747189978326e-14,0.0,2.5344662954917634e-43,1.4039077746800105e-27,2.110674146956354e-30,6.399968850415455e-14,0.055166413920900895,0.0,0.0,3.429396782493871e-28,0.0,1.9285196657712695e-28,2.5769314755693267e-21,0.0,8.36116373130804e-40,0.0,2.82017932101968e-35,6.457068350819045e-14,4.498791165226654e-21,0.0,2.226801417929067e-30,0.0,1.636389538302579e-14,1.875575651099444e-16,0.0,5.814737150566152e-16,1.0288554079884287e-15,2.3329892416471765e-34,1.0434295512057622e-13,0.0,0.0,0.0,0.0,7.19037808864617e-14,0.0,0.0,2.6640544669269906e-17,2.267579958502234e-20,0.0,0.0,0.7247731344079362,0.0,0.0,8.28722286473889e-15,0.0,8.03801273639032e-16
0.02,0.3844984437815991,299.99999999871153,1.1225327508466083,4.918016104515638e-10,3.6694731648612584e-26,3.290955488490229e-14,0.220060451536234,2.055442452829732e-17,0.0,1.726604167662289e-13,2.1566031892229746e-14,0.0,2.2305997410282253e-42,8.358221033995015e-28,1.0685496998168672e-30,6.267901818566989e-14,0.055166413879510344,0.0,0.0,3.2466249094523696e-28,0.0,1.823931328888849e-28,2.01296511373219e-21,0.0,5.999823108112915e-46,0.0,2.4491683745515285e-35,6.457178037620855e-14,4.293709656778708e-21,0.0,2.105827696260421e-30,0.0,1.6363895387280153e-14,6.368209066381501e-17,0.0,5.817584029711457e-16,1.0288623793433467e-15,1.1854617016227034e-34,1.046062500782065e-13,0.0,0.0,0.0,0.0,7.19037820877174e-14,0.0,3.1613920076675686e-43,2.6640604021393003e-17,2.2676609293967885e-20,0.0,0.0,0.724773134091896,0.0,0.0,8.287220875097774e-15,0.0,8.038054686024961e-16
0.022,0.3844984673609455,300.0000000088984,1.1225326820073802,5.326765832361899e-09,1.6762106848913772e-26,3.1171680830389656e-14,0.22006045058175938,1.946950536559569e-17,9.02652472406211e-13,1.738573245742211e-13,2.2356994010429915e-14,0.0,0.0,6.177707391503371e-28,3.1702330509909726e-31,6.009711774475925e-14,0.05516641342975903,6.451715568012867e-14,1.3695142160289607e-15,3.0754533738749515e-28,0.0,1.7219218561982288e-28,1.569499786977049e-21,0.0,3.6516978322610997e-50,0.0,2.1075602014260256e-35,6.461516585459232e-14,4.085124750636847e-21,0.0,1.9880541035686762e-30,0.0,1.6363895701750364e-14,2.16221425067416e-17,0.0,5.885478015813081e-16,1.029111870635452e-15,5.41529370227128e-35,1.0469704087166375e-13,0.0,0.0,0.0,0.0,7.190386240088098e-14,0.0,3.930357323452152e-43,2.664355588587213e-17,2.2716871286514425e-20,0.0,0.0,0.7247731306601913,0.0,0.0,8.28723651810745e-15,0.0,8.040505452761928e-16
0.024,0.38449872368233573,300.00000036395966,1.122531933684898,5.782117563680324e-08,6.306513738856623e-26,2.9762067873800517e-14,0.22006044021176793,1.8589466906534497e-17,3.241513322108076e-11,2.1930370687705183e-13,5.251960404556075e-14,0.0,0.0,5.46484450997567e-28,0.0,5.818441012989763e-14,0.05516640853382726,3.547673504131709e-12,8.332660754751404e-14,3.2768707029354377e-28,6.69369639169328e-16,1.6204204808104147e-28,2.115203270205252e-21,0.0,6.15601774995117e-42,0.0,1.9707489116458425e-35,6.671740898007071e-14,3.5699524820380484e-21,0.0,2.10675691283276e-28,0.0,1.6363912207428355e-14,7.341560502346016e-18,0.0,7.504634982128653e-16,1.0380458548920889e-15,2.037376248718219e-34,1.0488235736601451e-13,0.0,0.0,0.0,0.0,7.190796246756055e-14,0.0,6.958590688582386e-44,2.6790343792999668e-17,2.4718982646920726e-20,0.0,0.0,0.7247730933965518,0.0,0.0,8.288453437027859e-15,0.0,8.183699810757942e-16
0.025,0.3844998034835854,300.0000050816212,1.122528781248877,2.781126334947134e-07,4.088019420247534e-25,3.165003301163519e-14,0.22006039659488322,1.9772767870574544e-17,4.4893858649834013e-10,8.702982030948865e-13,4.873890866736053e-13,0.0,2.349697339520548e-43,5.470118350624001e-28,1.099887622852526e-30,7.745782073864676e-14,0.05516638782553662,5.3552254035482475e-11,1.6151370647132032e-12,0.0,1.778358169341012e-13,1.5653367796417843e-28,2.2208642895251284e-20,2.103742438274008e-14,1.0849457215333375e-41,2.0476056367203397e-15,0.0,1.0534913843102892e-13,0.0,6.559025404286032e-15,3.6954089440840487e-28,0.0,1.6364264931337864e-14,3.742889750204485e-18,4.099548461402973e-26,2.218723530532773e-15,1.1591551051786805e-15,1.3206566582639882e-33,1.0718276933068384e-13,0.0,0.0,0.0,0.0,7.198662249489939e-14,0.0,0.0,2.954594897430272e-17,6.230402750902688e-20,0.0,0.0,0.7247729369608527,0.0,0.0,8.319703711627861e-15,0.0,1.133910676577496e-15
0.025500000000000002,0.3845023667478412,300.0000376088518,1.12252129797326,7.954112134174443e-07,2.275128090355006e-24,4.4962282211808154e-14,0.2200602934526704,2.8258914159505104e-17,3.3059811494084295e-09,5.705607558040703e-12,3.7255889117255245e-12,0.0,0.0,1.125178322711714e-27,1.4319016653045799e-29,2.2168383714713925e-13,0.055166338161299566,4.249901186027081e-10,1.631319791988399e-11,2.2046626675349352e-26,1.8971479549127116e-12,2.140104318245048e-28,7.394360677104633e-19,2.864072049235278e-13,7.891581278378944e-41,5.597251320879313e-14,8.757962280952924e-32,4.699936031283674e-13,0.0,4.816479861247797e-13,2.6617502423556164e-27,0.0,1.636818840589961e-14,2.5999800609931715e-18,1.602784423516824e-24,9.242950939934513e-15,2.010364403109302e-15,7.349892805081499e-33,1.2435599271379083e-13,1.636170957663079e-14,0.0,0.0,0.0,7.276084123101921e-14,0.0,0.0,5.609999981151965e-17,4.2448769734272674e-19,0.0,0.0,0.7247725692143887,0.0,0.0,8.72798501739079e-15,8.380102774361136e-25,4.689409003968269e-15
