grid, omegaDot_C2H4, omegaDot_H2, omegaDot_H, omegaDot_O2, omegaDot_O, omegaDot_H2O, omegaDot_CO, omegaDot_CO2, omegaDot_OH, omegaDot_HCO, omegaDot_HO2, omegaDot_H2O2, omegaDot_C2H3, omegaDot_C2H2, omegaDot_CH4, omegaDot_CH3, omegaDot_CH2, omegaDot_CH2O, omegaDot_CH2CHO, omegaDot_N2
0.000000000000000000e+00,-4.447737189186257460e-11,2.431380959721880040e-18,-6.519055427795886410e-09,1.870466333375311013e-07,-2.376172349114888620e-09,-1.841866690785827473e-14,-2.254807287509370076e-14,-7.464487806377096509e-08,-1.153802453982699091e-07,-2.053082887033497561e-07,1.014173378037352359e-07,-2.728421981230275838e-23,1.190630921003042867e-08,-6.163491870965907579e-11,2.494186856608174301e-17,-2.133592187563714546e-16,1.189769385819367619e-07,-8.687674531518842326e-09,-6.324751016085955149e-09,0.000000000000000000e+00
8.000000000000000167e-03,5.738158975675588124e-12,-1.264212298921559068e-23,-3.123476629112624250e-14,1.765853335410491469e-11,-6.984401109776801206e-14,-2.784653735786351161e-12,-7.163492122471035650e-12,-1.033678141403641035e-12,-1.534185582264419031e-14,-1.434491351291740337e-17,-7.205459610195675201e-12,-4.922621461339539573e-25,2.419589803802157840e-14,-2.279117621310951732e-14,2.476496825202370175e-17,-2.130165320224774393e-16,1.047891632778762072e-12,-6.140860134243028266e-12,-1.221710582490177084e-15,0.000000000000000000e+00
1.200000000000000025e-02,2.197374287652323268e-13,-6.042088108305290051e-25,3.138256082329706897e-19,5.140286711653617551e-13,4.088493469559902060e-15,-1.008962320071930494e-13,-2.094158074913634684e-13,-1.683122231509246807e-14,2.938316059985426492e-14,2.749659376393282750e-17,-2.059928082873573023e-13,-4.451564134052416424e-25,1.728418673851737685e-17,-8.297109520256679490e-16,2.474900839652415623e-17,-2.128758167654371636e-16,2.863670285831009320e-17,-2.355032332117423319e-13,2.345655765215244949e-15,0.000000000000000000e+00
1.600000000000000033e-02,6.882176612964810612e-15,-1.890846583729176611e-26,1.546222398063488195e-20,1.573361918456333118e-14,1.857670341446796842e-16,-3.136411246290193243e-15,-6.554882713735414981e-15,-5.480091444267145268e-16,1.074169245998864747e-15,7.410416000610185024e-19,-6.492881319472580680e-15,-3.905360742962180258e-25,6.340739742870755600e-19,-2.565075092990160419e-17,2.473314227168729269e-17,-2.127349773324250623e-16,4.596637575302868253e-19,-7.020248029551299068e-15,8.850272064874296211e-17,0.000000000000000000e+00
1.800000000000000211e-02,-8.853813858483127655e-16,-1.476147153894751753e-28,1.185899386631654186e-21,-2.454644269025999757e-15,1.400849548386218205e-17,4.053751280595231956e-16,8.398462545813850575e-16,5.655925143537363550e-17,7.776201831259650913e-17,5.432198230725580666e-20,8.068706201781336878e-16,-3.339933130761257408e-25,4.619555642538945360e-20,3.520209812101211439e-18,2.472521176127394094e-17,-2.126645780419094312e-16,3.433446154052531233e-20,1.317443164727908451e-15,6.443840998545668245e-18,0.000000000000000000e+00
2.000000000000000042e-02,-1.454808260295023709e-15,-4.528364176168378298e-26,9.049887828689179293e-23,-3.787924699110606040e-15,1.119024095107419992e-18,6.647650880220891994e-16,1.381846398286738099e-15,1.009886529984135353e-16,5.006925197727385037e-18,3.969017932331389714e-21,1.342224470062138702e-15,-2.820718243018404972e-25,3.367186444196156441e-21,5.656947251515552757e-18,2.471730661864428968e-17,-2.125944116987928680e-16,2.524242668047905779e-21,1.928520688217673212e-15,4.719197358069959733e-19,0.000000000000000000e+00
2.199999999999999872e-02,-1.496194143791407116e-15,-8.064757862934402243e-25,9.870896452726760716e-24,-3.884730981784595198e-15,1.708245469873998415e-19,6.836145652474307052e-16,1.421238796765922739e-15,1.042219666071969687e-16,-3.257247924365564812e-19,2.743585394846395896e-22,1.381141929312343681e-15,-2.474112045482387131e-25,2.276221885388223363e-22,5.812178838341329323e-18,2.471074237114735867e-17,-2.125357840277236272e-16,1.843596461472175809e-22,1.972840688382462999e-15,3.424716694438081186e-20,0.000000000000000000e+00
2.400000000000000050e-02,-1.503559821184317817e-15,-1.321347627865135967e-23,1.039464266321599058e-25,-3.902991794802568246e-15,9.387116432209907610e-20,6.869745138522908780e-16,1.428239066321881284e-15,1.047636465531122811e-16,-7.581388214895214129e-19,5.664120146070249629e-24,1.387999184910729760e-15,-2.141058538216835528e-25,-3.403628110859002630e-24,5.840339671505753684e-18,2.477691613959180696e-17,-2.131026022296420850e-16,5.169758802557811714e-24,1.981721834652005696e-15,2.989665962858197800e-21,0.000000000000000000e+00
2.500000000000000139e-02,-1.633804391413055815e-15,-9.755888498136547683e-23,-3.644057490725098149e-22,-4.231079213583875812e-15,-8.165499065632592438e-19,7.463893604156323738e-16,1.551787869360663643e-15,1.141757674747137405e-16,-5.784433927024196528e-18,-8.345176085525783015e-22,1.508924858740372728e-15,-1.898207256100373890e-25,-9.575614765638010790e-22,6.340907662825727325e-18,2.629096458261484435e-17,-2.261222568721203147e-16,-1.295629484589064122e-21,2.143748447042439040e-15,-4.777971359951855994e-20,0.000000000000000000e+00
2.600000000000000228e-02,-9.021303585171698954e-15,-3.911366792108830149e-21,-4.031930752371589611e-20,-2.215165647264902861e-14,-1.155028543726607140e-16,4.110469644375931328e-15,8.553126957477013740e-15,6.711843585511545891e-16,-6.327796384945486610e-16,-1.657854005852869444e-19,8.415223156635103281e-15,2.099036022325274536e-25,-1.662620521847511316e-19,3.436645078706168241e-17,6.825766102822577195e-17,-5.870311173370632368e-16,-1.848991831051643298e-19,1.067068714344020463e-14,-1.448052716940859124e-17,0.000000000000000000e+00
