grid, T, mu, alpha, diff_C2H4, diff_H2, diff_H, diff_O2, diff_O, diff_H2O, diff_CO, diff_CO2, diff_OH, diff_HCO, diff_HO2, diff_H2O2, diff_C2H3, diff_C2H2, diff_CH4, diff_CH3, diff_CH2, diff_CH2O, diff_CH2CHO, diff_N2
0.000000000000000000e+00,3.000000000000000000e+02,1.828531070018701591e-05,2.553383967353700749e-05,1.885516953953823952e-05,7.809676517166447946e-05,1.220698485012039632e-04,2.011542944398420136e-05,3.232810492909773161e-05,2.245210421149656699e-05,2.052958388500651941e-05,1.556969368197013779e-05,3.170675446375952419e-05,1.553250533567976461e-05,2.055788448991498457e-05,2.041556528738659241e-05,1.732500188064810406e-05,1.749694422231400426e-05,2.226074078559718130e-05,2.234081806777589747e-05,2.286172135962664777e-05,1.540219565161416845e-05,1.319579110563558659e-05,2.187735807484236084e-05
8.000000000000000167e-03,2.999999999985805061e+02,1.828531070011999189e-05,2.553383967345254475e-05,1.885516953936852122e-05,7.809676517101676353e-05,1.220698485001332729e-04,2.011542944380876729e-05,3.232810492882211387e-05,2.245210421128072267e-05,2.052958388482987578e-05,1.556969368182926266e-05,3.170675446348939522e-05,1.553250533553305512e-05,2.055788448973735837e-05,2.041556528721023676e-05,1.732500188049054915e-05,1.749694422215487726e-05,2.226074078540206557e-05,2.234081806757996858e-05,2.286172135942610086e-05,1.540219565146870579e-05,1.319579110551185541e-05,2.187735807464078733e-05
1.200000000000000025e-02,2.999999999985438990e+02,1.828531070011824700e-05,2.553383967345076259e-05,1.885516953936438092e-05,7.809676517100096129e-05,1.220698485001065609e-04,2.011542944380454229e-05,3.232810492881532405e-05,2.245210421127544735e-05,2.052958388482550170e-05,1.556969368182577966e-05,3.170675446348264606e-05,1.553250533552940610e-05,2.055788448973294363e-05,2.041556528720592706e-05,1.732500188048666297e-05,1.749694422215095381e-05,2.226074078539728152e-05,2.234081806757512694e-05,2.286172135942116774e-05,1.540219565146505338e-05,1.319579110550877051e-05,2.187735807463599990e-05
1.600000000000000033e-02,2.999999999985267891e+02,1.828531070011735253e-05,2.553383967346610066e-05,1.885516953936587170e-05,7.809676517101183041e-05,1.220698485001075638e-04,2.011542944380607034e-05,3.232810492881800068e-05,2.245210421127704994e-05,2.052958388482724997e-05,1.556969368182715524e-05,3.170675446348515328e-05,1.553250533553061905e-05,2.055788448973472918e-05,2.041556528720770921e-05,1.732500188048808598e-05,1.749694422215238021e-05,2.226074078539897220e-05,2.234081806757682101e-05,2.286172135942284147e-05,1.540219565146627988e-05,1.319579110550990892e-05,2.187735807463495635e-05
1.800000000000000211e-02,2.999999999985186605e+02,1.828531070011621412e-05,2.553383967365977644e-05,1.885516953940601429e-05,7.809676517122528271e-05,1.220698485002607344e-04,2.011542944384725647e-05,3.232810492888426576e-05,2.245210421132529016e-05,2.052958388487133634e-05,1.556969368186192425e-05,3.170675446355069330e-05,1.553250533556492727e-05,2.055788448977956433e-05,2.041556528725223943e-05,1.732500188052564003e-05,1.749694422219019854e-05,2.226074078544434267e-05,2.234081806762197464e-05,2.286172135946859819e-05,1.540219565150036449e-05,1.319579110553958896e-05,2.187735807464582209e-05
2.000000000000000042e-02,2.999999999985105887e+02,1.828531070010326468e-05,2.553383967681503177e-05,1.885516954007237172e-05,7.809676517474784202e-05,1.220698485028346033e-04,2.011542944452996163e-05,3.232810492998393814e-05,2.245210421212738631e-05,2.052958388560173624e-05,1.556969368243907556e-05,3.170675446463663697e-05,1.553250533613343884e-05,2.055788449052213778e-05,2.041556528799122147e-05,1.732500188114876829e-05,1.749694422281770087e-05,2.226074078619789707e-05,2.234081806837219172e-05,2.286172136022993512e-05,1.540219565206542356e-05,1.319579110603172696e-05,2.187735807483639773e-05
2.199999999999999872e-02,2.999999999985030286e+02,1.828531069989855376e-05,2.553383972807584621e-05,1.885516955090999904e-05,7.809676523201918193e-05,1.220698485447297880e-04,2.011542945563334046e-05,3.232810494786898461e-05,2.245210422517519364e-05,2.052958389747859845e-05,1.556969369182480370e-05,3.170675448229669794e-05,1.553250534538093121e-05,2.055788450259793415e-05,2.041556530000826085e-05,1.732500189128415447e-05,1.749694423302319428e-05,2.226074079845336606e-05,2.234081808057500237e-05,2.286172137261215751e-05,1.540219566125707612e-05,1.319579111403666773e-05,2.187735807794603864e-05
2.400000000000000050e-02,2.999999999985198542e+02,1.828531069658136945e-05,2.553384056074722109e-05,1.885516972696943259e-05,7.809676616237976108e-05,1.220698492253668532e-04,2.011542963600973163e-05,3.232810523841540725e-05,2.245210443713770092e-05,2.052958409042173645e-05,1.556969384429707679e-05,3.170675476918939992e-05,1.553250549560787242e-05,2.055788469877080200e-05,2.041556549522734589e-05,1.732500205593494869e-05,1.749694439881360357e-05,2.226074099754645115e-05,2.234081827881195738e-05,2.286172157376449828e-05,1.540219581057558127e-05,1.319579124407731626e-05,2.187735812847520973e-05
2.500000000000000139e-02,2.999999999990347987e+02,1.828531067597955289e-05,2.553384573697329687e-05,1.885517082146990619e-05,7.809677194603705983e-05,1.220698534567695570e-04,2.011543075734701099e-05,3.232810704464048507e-05,2.245210575484012121e-05,2.052958528987944151e-05,1.556969479216276409e-05,3.170675655270003564e-05,1.553250642951747558e-05,2.055788591830631177e-05,2.041556670883301855e-05,1.732500307951149692e-05,1.749694542947515211e-05,2.226074223523995867e-05,2.234081951118370936e-05,2.286172282426071907e-05,1.540219673883784976e-05,1.319579205249481241e-05,2.187735844263755130e-05
2.600000000000000228e-02,3.000000000137019924e+02,1.828531049882330993e-05,2.553389036609474022e-05,1.885518025926569981e-05,7.809682181635780988e-05,1.220698899467431296e-04,2.011544042655308672e-05,3.232812261955814273e-05,2.245211711738647221e-05,2.052959563265068749e-05,1.556970296549635606e-05,3.170677193174099899e-05,1.553251448256511472e-05,2.055789643419351454e-05,2.041557717358542166e-05,1.732501190572912980e-05,1.749695431678939344e-05,2.226075290780124311e-05,2.234083013786885251e-05,2.286173360724321751e-05,1.540220474318606481e-05,1.319579902340825579e-05,2.187736115257543317e-05
