grid, u, T, D, Y_C2H4, Y_H2, Y_H, Y_O2, Y_O, Y_H2O, Y_CO, Y_CO2, Y_OH, Y_HCO, Y_HO2, Y_H2O2, Y_C2H3, Y_C2H2, Y_CH4, Y_CH3, Y_CH2, Y_CH2O, Y_CH2CHO, Y_N2, Qdot
0.000000000000e+00, 5.952410108387e-01, 3.000000000000e+02, 1.169853268102e+00, 6.372925403107e-02, 1.411647522178e-17, 3.469771916243e-16, 2.180660872410e-01, 7.705535913235e-16, 6.052129794093e-16, 5.608052781106e-14, -2.188019419056e-15, -1.143699735691e-18, -5.244659148829e-22, -2.925650595248e-16, 2.518158572167e-15, -2.767088449134e-16, 1.582119313018e-16, 6.031104025169e-16, 1.842958288878e-15, -1.196240862095e-14, -2.272460350784e-16, -3.847750472152e-20, 7.182046587279e-01, -2.195760820569e+00
8.000000000000e-03, 5.952410108358e-01, 2.999999999986e+02, 1.169853268107e+00, 6.372925403113e-02, 3.794873949116e-17, -1.804119929506e-21, 2.180660872412e-01, -2.426967052719e-17, -3.119378752341e-14, -2.576099184424e-14, -1.401279671502e-14, -1.729119579472e-16, -1.613142543326e-19, -6.806050703343e-14, -4.980195566060e-15, -1.023205704903e-19, -1.023954764324e-16, 6.033941110632e-16, 1.840511780167e-15, -1.656547727156e-19, -7.048543641956e-14, -1.392375189544e-17, 7.182046587279e-01, -1.265903493721e-04
1.200000000000e-02, 5.952410108358e-01, 2.999999999985e+02, 1.169853268107e+00, 6.372925403113e-02, 5.948019661696e-16, -8.634316659756e-23, 2.180660872412e-01, -1.084850316026e-18, -3.176811550211e-14, -2.695396920808e-14, -1.410887207523e-14, -6.265111098612e-18, -4.359508806483e-21, -6.206580915525e-14, -8.673737777508e-15, -3.724972206765e-21, -1.071278635186e-16, 6.035358820562e-16, 1.839289344616e-15, -2.697331205385e-21, -7.182979477550e-14, -5.211301695743e-19, 7.182046587279e-01, -3.636532788482e-06
1.600000000000e-02, 5.952410108359e-01, 2.999999999985e+02, 1.169853268107e+00, 6.372925403113e-02, 1.812863891045e-14, -2.811841279567e-24, 2.180660872412e-01, -3.534086965706e-20, -3.178587855668e-14, -2.699113886207e-14, -1.411198994267e-14, -1.947541996168e-19, -1.367861837027e-22, -5.503457623736e-14, -1.231569415160e-14, -1.151585790971e-22, -1.072735810157e-16, 6.036775786227e-16, 1.838067713250e-15, -8.782262740203e-23, -7.186971108022e-14, -1.620611098890e-20, 7.182046587279e-01, -1.115583041267e-07
1.800000000000e-02, 5.952410108375e-01, 2.999999999985e+02, 1.169853268104e+00, 6.372925403113e-02, 2.273556943293e-13, 2.898947876109e-25, 2.180660872411e-01, 3.650792271444e-21, -3.178468624128e-14, -2.698869902159e-14, -1.411182584183e-14, 2.517160656105e-20, 1.741046113308e-23, -5.152322965122e-14, -1.412378057047e-14, 1.580391783442e-23, -1.072633800179e-16, 6.037486293811e-16, 1.837457135014e-15, 9.064049598156e-24, -7.186590473219e-14, 2.113332837674e-21, 7.182046587277e-01, 1.714361091788e-08
2.000000000000e-02, 5.952410108644e-01, 2.999999999985e+02, 1.169853268051e+00, 6.372925403104e-02, 3.625972827570e-12, 5.178448578160e-25, 2.180660872406e-01, 6.516245843881e-21, -3.178199510845e-14, -2.698465482666e-14, -1.411153562328e-14, 4.127832239772e-20, 2.871576967089e-23, -4.803507173406e-14, -1.591913740780e-14, 2.539676165255e-23, -1.072470218198e-16, 6.038315960295e-16, 1.836848589881e-15, 1.618419863201e-23, -7.186036407098e-14, 3.454978776158e-21, 7.182046587249e-01, 2.657850265200e-08
2.200000000000e-02, 5.952410113006e-01, 2.999999999985e+02, 1.169853267194e+00, 6.372925402961e-02, 5.883201871647e-11, 5.344338842711e-25, 2.180660872321e-01, 6.724775901031e-21, -3.173783471342e-14, -2.697624289645e-14, -1.411123319759e-14, 4.244877285461e-20, 2.953749396260e-23, -4.457124503612e-14, -1.770181587906e-14, 2.609367107355e-23, -1.072231326921e-16, 6.045648660907e-16, 1.836339749497e-15, 1.670236171933e-23, -7.185469580488e-14, 3.552470608697e-21, 7.182046586796e-01, 2.726361591234e-08
2.400000000000e-02, 5.952410183875e-01, 2.999999999985e+02, 1.169853253266e+00, 6.372925400636e-02, 9.555813146445e-10, 5.372133411827e-25, 2.180660870944e-01, 6.759719907772e-21, -2.945624338461e-14, -2.671674524311e-14, -1.411069523530e-14, 4.265740333941e-20, 2.968328739202e-23, -4.112658767324e-14, -1.946961757466e-14, 2.622009926223e-23, -1.067096477038e-16, 6.407269458306e-16, 1.841234714138e-15, 1.678917045512e-23, -7.184887576837e-14, 3.569870098584e-21, 7.182046579439e-01, 2.739224595955e-08
2.500000000000e-02, 5.952410624431e-01, 2.999999999990e+02, 1.169853166681e+00, 6.372925386182e-02, 6.530115635895e-09, 5.855229353485e-25, 2.180660862383e-01, 7.366971561672e-21, 1.701178834245e-14, -2.103323502647e-14, -1.410362904122e-14, 4.634671613593e-20, 3.225894482548e-23, -3.929915837121e-14, -2.029710457841e-14, 2.846739452608e-23, -9.377943675458e-17, 1.382601201297e-15, 1.953723960245e-15, 1.829753713517e-23, -7.184224986512e-14, 3.876143595888e-21, 7.182046533699e-01, 2.970038985291e-08
2.600000000000e-02, 5.952414423040e-01, 3.000000000137e+02, 1.169852420125e+00, 6.372925261560e-02, 5.459287424787e-08, 3.446472574345e-24, 2.180660788566e-01, 4.329975672200e-20, 1.295393386977e-12, 1.493751559532e-13, -1.383268502262e-14, 2.552364616760e-19, 1.786537605351e-22, -3.418787040149e-14, -1.953333493491e-14, 1.542877844576e-22, 3.587232295174e-16, 2.196082163593e-14, 5.071988629387e-15, 1.075625509759e-22, -7.169853023169e-14, 2.109266276396e-20, 7.182046139336e-01, 1.561631193032e-07
